,Population,Hispanic_Latino,White,Black,Asian,Urban,NAME,state,county,Hispanic_Latino_share,White_share,Black_share,Asian_share
1988,38406,3749,33022,1165,71,0,Yadkin County,37,197,0.09761495599645889,0.8598135707962298,0.03033380201010259,0.0018486694787272823
1989,17818,814,16652,128,34,0,Yancey County,37,199,0.0456841396340779,0.9345605567403749,0.007183746772926255,0.0019081827365585364
1990,2343,20,2266,8,9,0,Adams County,38,001,0.008536064874093044,0.9671361502347418,0.0034144259496372174,0.0038412291933418692
1991,11066,123,10599,83,58,0,Barnes County,38,003,0.011115127417314297,0.9577986625700343,0.007500451834447858,0.0052412795951563345
1992,6660,77,2861,1,3,0,Benson County,38,005,0.01156156156156156,0.4295795795795796,0.00015015015015015014,0.00045045045045045046
1993,783,4,771,0,4,0,Billings County,38,007,0.005108556832694764,0.9846743295019157,0.0,0.005108556832694764
1994,6429,82,6062,25,16,0,Bottineau County,38,009,0.012754705241872765,0.9429149167833255,0.003888629646912428,0.002488722974023954
1995,3151,78,3039,3,2,0,Bowman County,38,011,0.024754046334496984,0.9644557283402094,0.000952078705172961,0.0006347191367819739
1996,1968,37,1891,4,13,0,Burke County,38,013,0.018800813008130083,0.9608739837398373,0.0020325203252032522,0.0066056910569105695
1997,81308,986,75054,476,386,0,Burleigh County,38,015,0.012126727997245044,0.9230825994982044,0.0058542824814286415,0.004747380331578689
1998,149778,3015,135530,3372,3524,0,Cass County,38,017,0.020129792092296598,0.9048725446994885,0.022513319713175498,0.023528155002737385
1999,3993,24,3890,4,9,0,Cavalier County,38,019,0.006010518407212622,0.9742048585023791,0.0010017530678687703,0.002253944402704733
2000,5289,100,5044,35,22,0,Dickey County,38,021,0.018907165815844205,0.9536774437511817,0.006617508035545471,0.004159576479485725
2001,2071,30,2006,5,6,0,Divide County,38,023,0.014485755673587638,0.9686141960405601,0.0024142926122646064,0.0028971511347175277
2002,3536,38,2984,8,10,0,Dunn County,38,025,0.010746606334841629,0.8438914027149321,0.0022624434389140274,0.002828054298642534
2003,2385,52,2242,4,6,0,Eddy County,38,027,0.02180293501048218,0.940041928721174,0.0016771488469601676,0.0025157232704402514
2004,3550,34,3468,2,6,0,Emmons County,38,029,0.009577464788732394,0.9769014084507043,0.0005633802816901409,0.0016901408450704226
2005,3343,29,3272,3,3,0,Foster County,38,031,0.008674842955429255,0.9787615913849835,0.0008973975471133712,0.0008973975471133712
2006,1680,35,1613,9,1,0,Golden Valley County,38,033,0.020833333333333332,0.9601190476190476,0.005357142857142857,0.0005952380952380953
2007,66861,1951,59271,1322,1280,0,Grand Forks County,38,035,0.02917994047351969,0.8864809081527347,0.019772363560221953,0.019144194672529577
2008,2394,7,2325,1,3,0,Grant County,38,037,0.0029239766081871343,0.9711779448621554,0.0004177109440267335,0.0012531328320802004
2009,2420,9,2387,7,4,0,Griggs County,38,039,0.00371900826446281,0.9863636363636363,0.002892561983471074,0.001652892561983471
2010,2477,12,2372,6,1,0,Hettinger County,38,041,0.004844570044408559,0.9576100121114252,0.0024222850222042794,0.0004037141703673799
2011,2435,71,2329,6,22,0,Kidder County,38,043,0.02915811088295688,0.9564681724845996,0.0024640657084188913,0.009034907597535934
2012,4139,34,4053,5,6,0,LaMoure County,38,045,0.008214544575984537,0.9792220343078039,0.0012080212611741967,0.001449625513409036
2013,1990,12,1954,2,5,0,Logan County,38,047,0.006030150753768844,0.9819095477386934,0.0010050251256281408,0.002512562814070352
