	COUNTY	NAME	ST	B00001_001E	B01001_001E	B00002_001E	B08201_001E	state	county
2711	377	Presidio County, Texas	48	433	7304	266	2634	48	377
2712	379	Rains County, Texas	48	1302	11037	632	4201	48	379
2713	381	Randall County, Texas	48	10112	126782	4211	48770	48	381
2714	383	Reagan County, Texas	48	390	3598	159	1217	48	383
2715	385	Real County, Texas	48	405	3356	357	1224	48	385
2716	387	Red River County, Texas	48	1597	12567	860	5196	48	387
2717	389	Reeves County, Texas	48	1551	14179	566	3716	48	389
2718	391	Refugio County, Texas	48	1064	7277	538	2753	48	391
2719	393	Roberts County, Texas	48	247	931	118	350	48	393
2720	395	Robertson County, Texas	48	1563	16532	871	6065	48	395
2721	397	Rockwall County, Texas	48	4691	85536	1680	28457	48	397
2722	399	Runnels County, Texas	48	1250	10445	681	3703	48	399
2723	401	Rusk County, Texas	48	5241	53457	2161	17753	48	401
2724	403	Sabine County, Texas	48	943	10440	680	3795	48	403
2725	405	San Augustine County, Texas	48	689	8695	471	2882	48	405
2726	407	San Jacinto County, Texas	48	1441	27023	749	9476	48	407
2727	409	San Patricio County, Texas	48	5661	66070	2330	22781	48	409
2728	411	San Saba County, Texas	48	798	5893	463	2126	48	411
2729	413	Schleicher County, Texas	48	375	3224	190	1074	48	413
2730	415	Scurry County, Texas	48	1502	17238	584	5832	48	415
2731	417	Shackelford County, Texas	48	511	3352	262	1377	48	417
2732	419	Shelby County, Texas	48	2255	25725	1122	9396	48	419
2733	421	Sherman County, Texas	48	625	3066	289	986	48	421
2734	423	Smith County, Texas	48	14139	217552	5708	78778	48	423
2735	425	Somervell County, Texas	48	596	8608	232	3386	48	425
2736	427	Starr County, Texas	48	4261	62648	1527	16145	48	427
2737	429	Stephens County, Texas	48	945	9452	442	3447	48	429
2738	431	Sterling County, Texas	48	217	1346	101	451	48	431
2739	433	Stonewall County, Texas	48	310	1414	193	580	48	433
2740	435	Sutton County, Texas	48	449	3966	212	1480	48	435
2741	437	Swisher County, Texas	48	1016	7713	447	2594	48	437
2742	439	Tarrant County, Texas	48	119202	1914526	47387	673737	48	439
2743	441	Taylor County, Texas	48	11227	134435	4674	49476	48	441
2744	443	Terrell County, Texas	48	120	921	109	466	48	443
2745	445	Terry County, Texas	48	1197	12687	462	4046	48	445
2746	447	Throckmorton County, Texas	48	408	1545	246	701	48	447
2747	449	Titus County, Texas	48	3066	32553	1198	10461	48	449
2748	451	Tom Green County, Texas	48	7896	115056	3252	42825	48	451
2749	453	Travis County, Texas	48	71430	1121645	30456	428220	48	453
2750	455	Trinity County, Texas	48	1320	14405	883	5325	48	455
2751	457	Tyler County, Texas	48	2206	21462	1004	7968	48	457
2752	459	Upshur County, Texas	48	3294	40096	1458	13844	48	459
2753	461	Upton County, Texas	48	624	3405	276	1217	48	461
2754	463	Uvalde County, Texas	48	1595	26952	784	8435	48	463
2755	465	Val Verde County, Texas	48	3173	48980	1305	14790	48	465
2756	467	Van Zandt County, Texas	48	4690	52736	2104	18613	48	467
2757	469	Victoria County, Texas	48	6662	90099	2738	32510	48	469
2758	471	Walker County, Texas	48	5449	69330	1358	20685	48	471
2759	473	Waller County, Texas	48	3325	45847	1101	13937	48	473
2760	475	Ward County, Texas	48	1380	11225	619	3883	48	475
2761	477	Washington County, Texas	48	2122	34236	880	11952	48	477
2762	479	Webb County, Texas	48	18896	263251	5869	69668	48	479
2763	481	Wharton County, Texas	48	2846	41264	1278	14741	48	481
2764	483	Wheeler County, Texas	48	990	5618	448	2293	48	483
2765	485	Wichita County, Texas	48	11250	131957	4450	47941	48	485
2766	487	Wilbarger County, Texas	48	1224	13158	549	5212	48	487
2767	489	Willacy County, Texas	48	2216	22002	775	5553	48	489
2768	491	Williamson County, Texas	48	29926	473592	11631	161793	48	491
2769	493	Wilson County, Texas	48	3872	45509	1527	15477	48	493
2770	495	Winkler County, Texas	48	949	7576	383	2628	48	495
2771	497	Wise County, Texas	48	5643	61243	2340	21068	48	497
2772	499	Wood County, Texas	48	3555	42712	1690	16064	48	499
2773	501	Yoakum County, Texas	48	615	8213	264	2727	48	501
2774	503	Young County, Texas	48	1325	18329	632	7115	48	503
2775	505	Zapata County, Texas	48	684	14308	312	4517	48	505
2776	507	Zavala County, Texas	48	801	12060	347	3627	48	507
2777	001	Beaver County, Utah	49	801	6461	347	2249	49	001
2778	003	Box Elder County, Utah	49	7028	50991	2529	16404	49	003
2779	005	Cache County, Utah	49	13850	117449	4488	35685	49	005
2780	007	Carbon County, Utah	49	2479	20927	1111	7798	49	007
2781	009	Daggett County, Utah	49	172	776	255	263	49	009
2782	011	Davis County, Utah	49	24065	323374	7659	97910	49	011
2783	013	Duchesne County, Utah	49	3598	19817	1731	6606	49	013
2784	015	Emery County, Utah	49	1874	10728	783	3531	49	015
2785	017	Garfield County, Utah	49	1195	5069	745	1751	49	017
2786	019	Grand County, Utah	49	610	9388	337	3789	49	019
2787	021	Iron County, Utah	49	3293	47139	1726	15095	49	021
2788	023	Juab County, Utah	49	1759	10400	570	3106	49	023
2789	025	Kane County, Utah	49	883	7202	592	2789	49	025
2790	027	Millard County, Utah	49	2162	12582	886	4160	49	027
2791	029	Morgan County, Utah	49	1119	10276	360	3024	49	029
2792	031	Piute County, Utah	49	486	1865	290	557	49	031
2793	033	Rich County, Utah	49	598	2292	488	640	49	033
2794	035	Salt Lake County, Utah	49	81134	1078958	28773	351892	49	035
2795	037	San Juan County, Utah	49	2432	15152	1207	3923	49	037
2796	039	Sanpete County, Utah	49	4242	28261	1480	7943	49	039
2797	041	Sevier County, Utah	49	3330	20871	1314	7050	49	041
2798	043	Summit County, Utah	49	4375	38521	2386	13927	49	043
2799	045	Tooele County, Utah	49	4520	60893	1579	18631	49	045
2800	047	Uintah County, Utah	49	3181	35721	1188	10981	49	047
2801	049	Utah County, Utah	49	54760	551957	15482	148464	49	049
2802	051	Wasatch County, Utah	49	2343	26661	987	8095	49	051
2803	053	Washington County, Utah	49	9764	148244	3840	48920	49	053
2804	055	Wayne County, Utah	49	585	2722	315	972	49	055
2805	057	Weber County, Utah	49	18971	238682	6924	80137	49	057
2806	001	Addison County, Vermont	50	8179	36943	3460	14336	50	001
2807	003	Bennington County, Vermont	50	5511	36589	3053	15636	50	003
2808	005	Caledonia County, Vermont	50	5397	31012	2721	12287	50	005
2809	007	Chittenden County, Vermont	50	15820	159711	5747	63498	50	007
2810	009	Essex County, Vermont	50	1896	6207	1414	2701	50	009
2811	011	Franklin County, Vermont	50	5712	48418	2504	18685	50	011
2812	013	Grand Isle County, Vermont	50	1691	6952	1037	2965	50	013
2813	015	Lamoille County, Vermont	50	3624	25027	1675	10176	50	015
2814	017	Orange County, Vermont	50	5512	28929	2655	12148	50	017
2815	019	Orleans County, Vermont	50	6209	27146	3448	11200	50	019
2816	021	Rutland County, Vermont	50	9178	60530	4891	25459	50	021
2817	023	Washington County, Vermont	50	8824	59132	4190	24512	50	023
2818	025	Windham County, Vermont	50	7072	43858	4410	19057	50	025
2819	027	Windsor County, Vermont	50	7259	56150	4160	24507	50	027
2820	001	Accomack County, Virginia	51	3478	33115	1902	13961	51	001
2821	003	Albemarle County, Virginia	51	8565	103108	3109	38853	51	003
2822	005	Alleghany County, Virginia	51	1791	16066	854	6781	51	005
2823	007	Amelia County, Virginia	51	701	12777	286	4704	51	007
2824	009	Amherst County, Virginia	51	2821	32148	1190	12502	51	009
2825	011	Appomattox County, Virginia	51	1482	15208	667	5931	51	011
2826	013	Arlington County, Virginia	51	15459	223945	7342	98441	51	013
2827	015	Augusta County, Virginia	51	5217	74053	1963	28150	51	015
